user_snippet,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum,activity
1008_0,-208.00000000000003,-1.82,-2.08,100.0,4.702672006423581,22.115123999999994,5.142132242562418,7.55,15.98,-15.98,789.4599999999998,8.105,7.894599999999998,100.0,5.492642609891891,30.169122840000004,9.61737136643896,19.23,19.23,-6.32,242.45000000000002,1.8,2.4245,100.0,3.994138549174277,15.95314275,4.672402272921286,14.29,14.29,-4.4,Upstairs
1008_1,29.040000000000003,0.515,0.29040000000000005,100.0,2.65053010546947,7.02530984,2.666391194104871,5.94,8.77,-8.77,812.8599999999999,8.54,8.128599999999999,100.0,4.761512368985299,22.672000039999993,9.420516864800996,19.42,19.42,-6.51,259.45000000000005,2.3150000000000004,2.5945000000000005,100.0,3.144090448762567,9.88530475,4.07636296224956,14.63,14.63,-5.79,Upstairs
1008_2,-160.29,-0.96,-1.6029,100.0,5.706679821927984,32.56619459,5.927519126919794,9.77,17.58,-17.58,925.0300000000001,8.66,9.250300000000001,100.0,4.767907393186239,22.732940910000003,10.406776205915067,19.15,19.15,-0.38,21.57999999999999,-0.15,0.2157999999999999,100.0,4.570114698779452,20.88594836,4.575206880568352,9.53,9.53,-7.31,Walking
1008_3,-138.32000000000002,-1.88,-1.3832000000000002,100.0,4.058896372168179,16.474639760000002,4.288109373605109,6.55,12.68,-12.68,902.66,10.27,9.0266,100.0,8.290627143949967,68.73449843999998,12.25618235830391,19.57,19.57,-8.77,263.32,1.4700000000000002,2.6332,100.0,5.770799577181658,33.302127760000005,6.343175072469623,14.63,14.63,-6.66,Jogging
1008_4,-184.32,-2.01,-1.8432,100.0,3.8249556546449,14.630285759999998,4.245900611177798,7.65,8.69,-8.69,823.7999999999998,9.35,8.237999999999998,100.0,8.821599628185353,77.82061999999998,12.070015078698122,19.57,19.57,-7.63,221.03000000000003,1.57,2.2103,100.0,5.811535847777247,33.77394891,6.21766636287281,18.16,18.16,-9.38,Jogging
1008_5,-22.166890309999992,0.38154591,-0.22166890309999993,100.0,3.4271438846320903,11.745315205971135,3.434305214824782,6.85,12.79,-12.79,898.7657026,9.448070999999999,8.987657026,100.0,5.379171072129911,28.935481423239256,10.474419327115294,19.57,19.57,-10.0,183.57258289,0.95,1.8357258289,100.0,3.932918153653576,15.467845203337852,4.340245905732583,14.6,14.6,-7.55,Upstairs
1008_6,-623.2900000000001,-5.58,-6.232900000000001,100.0,3.2638116658287744,10.65246659,7.035730878878185,-1.42,15.7,-15.7,698.71,6.17,6.987100000000001,100.0,3.8862862208025803,15.103220590000003,7.995172731092181,14.82,14.82,-0.8,152.10000000000002,0.95,1.5210000000000001,100.0,4.041722033985018,16.335516999999996,4.318443932714653,11.73,11.73,-6.44,Walking
1008_7,-179.58,-1.365,-1.7958,100.0,4.1614505115404175,17.31767036,4.53239098048701,9.15,12.79,-12.79,904.75,11.399999999999999,9.0475,100.0,8.845636932974358,78.24529275,12.653163596508188,19.57,19.57,-9.08,211.85999999999999,1.14,2.1186,100.0,5.5815302597047705,31.153480040000005,5.9700876040473645,18.07,18.07,-8.39,Jogging
1008_8,-117.46999999999998,-0.4,-1.1746999999999999,100.0,4.920992472052767,24.21616691,5.059257554226707,6.4,17.62,-17.62,954.81,8.98,9.5481,100.0,4.803441619297563,23.073051389999996,10.688276989300006,19.04,19.04,-0.57,-2.080000000000002,-0.845,-0.02080000000000002,100.0,4.539534266860423,20.60737136,4.539581919075808,11.5,11.5,-7.16,Walking
1008_9,-122.41,-0.7250000000000001,-1.2241,100.0,3.9380599525654763,15.508316190000002,4.123922525945414,7.4,11.6,-11.6,819.4400000000002,9.765,8.194400000000002,100.0,9.332164199155521,87.08928863999999,12.419238301924961,19.57,19.57,-10.08,218.21999999999997,-0.135,2.1822,100.0,5.960975856351039,35.53323316,6.347852392738822,16.13,16.13,-8.28,Jogging
1008_10,-213.10000000000002,-1.69,-2.1310000000000002,100.0,4.161542382338548,17.318435,4.675424686592652,12.49,14.18,-14.18,959.66,11.39,9.5966,100.0,7.628214892096317,58.18966244000001,12.259053552375077,19.57,19.57,-8.24,266.81,2.375,2.6681,100.0,4.686579711260654,21.964029389999997,5.3928459091652154,14.18,14.18,-7.89,Upstairs
1008_11,-319.3,-3.17,-3.193,100.0,0.2865501701273269,0.08211099999999999,3.2058321852523726,-2.11,3.76,-3.76,849.6999999999998,8.5,8.496999999999998,100.0,0.1434329111466402,0.02057299999999998,8.498210517514849,8.92,8.92,7.89,-106.74000000000001,-1.12,-1.0674000000000001,100.0,0.23980250207201761,0.057505240000000006,1.0940054844469473,-0.23,1.54,-1.54,Standing
1008_12,-90.58,-1.0150000000000001,-0.9057999999999999,100.0,5.602813789516835,31.39152236,5.675561293828127,11.65,13.14,-13.14,843.7300000000001,9.85,8.4373,100.0,9.438386287390445,89.08313571000001,12.659824919800432,19.57,19.57,-6.85,198.89,0.515,1.9889,100.0,6.141268255824687,37.715175789999996,6.455300070484718,17.86,17.86,-8.12,Jogging
1008_13,-332.19999999999993,-3.34,-3.321999999999999,100.0,0.12240914998479492,0.014984000000000018,3.324254502892341,-3.02,3.57,-3.57,843.6099999999998,8.43,8.436099999999998,100.0,0.09057477573806064,0.008203789999999978,8.436586217185242,8.66,8.66,8.24,-121.54,-1.23,-1.2154,100.0,0.13122057765457368,0.017218840000000003,1.2224630873772835,-0.89,1.61,-1.61,Standing
1008_14,-100.36000000000003,-0.995,-1.0036000000000003,100.0,3.952884900929952,15.625299039999998,4.078297684083397,7.59,11.65,-11.65,885.76,9.33,8.8576,100.0,8.721154639151859,76.05853824,12.430431046427955,19.57,19.57,-8.43,224.14,1.69,2.2414,100.0,5.026889499481762,25.269618040000005,5.503952398049969,18.2,18.2,-12.26,Jogging
